primary_key,caption,hashtag_count,mention_count,Cleaned Caption,Valence,Arousal,complexity_score,Concreteness_Score,Name_x,Sponsored,Json_Name,like_count,comment_count,File Name,Followers,Following,Posts,Category,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,engagement_rate
1221086,"Who would’ve guessed that a house full of kids and 3 dogs would be crazy!! 🤣 It’s so fun though!!! If you’re shopping the sales...my cozy cardi is 50% off, my XL monogram is 30% off and my fav skinny jeans are 20% off 💕 @liketoknow.it http://liketk.it/2yorC #liketkit #LTKstyletip #LTKsalealert #LTKunder100",5,2,"['would', '’', 'guessed', 'house', 'full', 'kids', '3', 'dogs', 'would', 'crazy', '’', 'fun', 'though', '’', 'shopping', 'sales', 'cozy', 'cardi', '50', 'xl', 'monogram', '30', 'fav', 'skinny', 'jeans', '20']",0.6121666666666666,0.4223333333333333,21.856900000000003,3.091566739250137,twopeasinablog,0,1917935262533805175,985,66,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,52.001,11.191,30.211,7.581,81.191,18.001,18.651,81.391,61.781,50.021,16.691,10.801,6.881,1.001,2.961,1.001,1.001,6.881,12.761,4.920999999999999,12.761,8.841000000000001,16.691,4.920999999999999,10.801,1.001,18.651,10.801,2.961,1.001,1.001,1.001,1.001,20.611,1.001,10.801,2.961,1.001,4.920999999999999,4.920999999999999,1.001,4.920999999999999,1.001,6.881,4.920999999999999,1.001,4.920999999999999,2.961,1.001,1.001,1.001,1.001,1.001,6.881,1.001,1.001,1.001,1.001,1.001,1.001,6.881,1.001,1.001,1.001,1.001,2.961,1.001,1.001,2.961,8.841000000000001,2.961,2.961,1.001,4.920999999999999,1.001,2.961,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,2.961,1.001,1.001,1.001,1.001,2.961,2.961,1.001,1.001,2.961,1.001,1.001,1.001,1.001,4.920999999999999,10.801,1.001,2.961,2.961,1.001,1.001,1.001,42.181,8.841000000000001,2.961,1.001,10.801,6.881,16.691,4.920999999999999,0.010495096962313514
1221087,I’m wearing nothing but comfy & cozy clothes the next few days!!! Who’s with me??? 🙋🏼‍♀️ This Sherpa lined sweatshirt is 50% off and comes in 2 other colors. I’ve linked a few other cozy sweatshirts that are also on sale with @liketoknow.it http://liketk.it/2yoLR #liketkit #LTKsalealert #LTKstyletip,4,2,"['’', 'wearing', 'nothing', 'comfy', 'cozy', 'clothes', 'next', 'days', '’', '\u200d', 'sherpa', 'lined', 'sweatshirt', '50', 'comes', '2', 'colors', '’', 'linked', 'cozy', 'sweatshirts', 'also', 'sale']",0.7443333333333334,0.381,21.658500000000004,3.020928438074156,twopeasinablog,0,1918297276024223531,808,63,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,47.001,35.721,2.401,93.581,1.001,12.501,20.571,77.09100000000001,61.871,53.171,16.221,9.701,7.521,1.001,1.001,1.001,1.001,7.521,18.391,5.351,7.521,11.871,11.871,3.171,7.521,3.171,16.221,11.871,7.521,1.001,1.001,1.001,1.001,24.911,3.171,7.521,1.001,1.001,1.001,1.001,1.001,7.521,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,3.171,1.001,1.001,1.001,1.001,1.001,1.001,3.171,1.001,1.001,1.001,1.001,3.171,1.001,1.001,3.171,3.171,1.001,1.001,1.001,3.171,1.001,3.171,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,9.701,1.001,3.171,7.521,3.171,1.001,1.001,5.351,3.171,11.871,1.001,1.001,1.001,1.001,1.001,1.001,37.961,5.351,1.001,7.521,7.521,7.521,14.041,7.521,0.008697649337940126
1221088,"Worked on some Christmas decor, ate all the food and enjoyed the day with family. You could say it was a good day. So much of this outfit is on sale!!! Olive green faux fur vest is 30% off, best v-neck long sleeve is 50% off and my necklace is 25% off. Sharing some similar lanterns too. 😊🎄 Hope you had a fabulous day!! So thankful for you all and your continuous support. 😘 @liketoknow.it  http://liketk.it/2ypzQ #liketkit #twopeasfashion #RDBabe",4,2,"['worked', 'christmas', 'decor', 'ate', 'food', 'enjoyed', 'day', 'family', 'could', 'say', 'good', 'day', 'much', 'outfit', 'sale', 'olive', 'green', 'faux', 'fur', 'vest', '30', 'best', 'v', 'neck', 'long', 'sleeve', '50', 'necklace', '25', 'sharing', 'similar', 'lanterns', 'hope', 'fabulous', 'day', 'thankful', 'continuous', 'support']",0.719888888888889,0.3737037037037036,23.2953,2.985029464116292,twopeasinablog,0,1918633890319558305,2766,123,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,79.001,58.401,87.441,5.861000000000001,100.001,10.751,17.671000000000003,84.331,70.23100000000001,49.721,11.261,7.411,2.281,1.001,6.131,1.001,1.001,4.851,16.381,6.131,6.131,11.261,9.971,4.851,7.411,1.001,17.671000000000003,11.261,12.541,6.131,3.561,3.561,1.001,24.081,3.561,4.851,1.001,1.001,3.561,2.281,1.001,2.281,1.001,8.691,8.691,1.001,7.411,7.411,1.001,1.001,1.001,1.001,1.001,11.261,4.851,2.281,1.001,1.001,1.001,2.281,7.411,2.281,1.001,1.001,1.001,2.281,1.001,1.001,2.281,4.851,1.001,1.001,2.281,2.281,2.281,4.851,1.001,1.001,1.001,1.001,1.001,1.001,3.561,1.001,1.001,2.281,1.001,1.001,1.001,1.001,1.001,1.001,1.001,9.971,4.851,1.001,1.001,3.561,2.281,1.001,1.001,7.411,7.411,6.131,2.281,1.001,1.001,1.001,1.001,1.001,27.921000000000003,8.691,3.561,1.001,7.411,1.001,11.261,4.851,0.028849034371192905
1221090,"Did some good online shopping today 👊🏻 Also shared a try-on session of some new arrivals that are on sale. In fact, this sweater & jeans are part of the try-on and I’m loving them. The blush pink, white, grey, black combo is so pretty and I’m loving all the textures. Our elf came today - can you see him in the dining room? #letthefunbegin All details through link in our profile or by following in the @liketoknow.it app. 💗 http://liketk.it/2yr4o #liketkit #twopeasinablog #evereve",5,2,"['good', 'online', 'shopping', 'today', 'also', 'shared', 'try', 'session', 'new', 'arrivals', 'sale', 'fact', 'sweater', 'jeans', 'part', 'try', '’', 'loving', 'blush', 'pink', 'white', 'grey', 'black', 'combo', 'pretty', '’', 'loving', 'textures', 'elf', 'came', 'today', 'see', 'dining', 'room', 'details', 'link', 'profile', 'following', 'app']",0.7031851851851849,0.3985555555555555,23.4441,3.091024268818232,twopeasinablog,0,1919350503356304554,1624,98,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,82.001,63.541,69.861,21.501,91.051,14.501,18.281,81.251,63.961,50.381,13.351,9.641,3.471,3.471,2.231,2.231,2.231,4.7010000000000005,18.281,8.411000000000001,2.231,12.111,9.641,4.7010000000000005,7.171,1.001,14.581,9.641,7.171,4.7010000000000005,4.7010000000000005,1.001,1.001,21.991,3.471,7.171,1.001,1.001,2.231,3.471,1.001,3.471,1.001,5.941000000000001,5.941000000000001,1.001,4.7010000000000005,4.7010000000000005,1.001,1.001,1.001,1.001,1.001,10.881,4.7010000000000005,3.471,1.001,1.001,1.001,1.001,7.171,1.001,1.001,1.001,2.231,4.7010000000000005,1.001,1.001,4.7010000000000005,7.171,1.001,3.471,2.231,3.471,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,8.411000000000001,14.581,1.001,3.471,5.941000000000001,7.171,1.001,1.001,4.7010000000000005,4.7010000000000005,10.881,1.001,1.001,1.001,1.001,1.001,1.001,26.931,7.171,5.941000000000001,2.231,1.001,3.471,12.111,4.7010000000000005,0.017195582273172097
1221091,"Happy Saturday! A little festive while still in plenty of red for game day. 🏈Go Bucks! This buffalo plaid is under $50 and creates a comfy, chic look. Tee and jeans on sale. Linking my favorite everyday, eyeshadow palette. ❤️ @liketoknow.it http://liketk.it/2yruJ #liketkit #twopeasfashion",3,2,"['happy', 'saturday', 'little', 'festive', 'still', 'plenty', 'red', 'game', 'day', 'go', 'bucks', 'buffalo', 'plaid', '50', 'creates', 'comfy', 'chic', 'look', 'tee', 'jeans', 'sale', 'linking', 'favorite', 'everyday', 'eyeshadow', 'palette']",0.6772631578947368,0.4682105263157894,21.6089,3.4838461538461543,twopeasinablog,0,1919793011009960153,678,63,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,45.001,82.891,28.641,67.421,100.001,7.291,28.271,76.001,57.821,37.361,10.091,3.271,3.271,1.001,1.001,1.001,1.001,7.821000000000001,10.091,5.551,5.551,12.361,3.271,3.271,7.821000000000001,1.001,10.091,12.361,7.821000000000001,3.271,1.001,3.271,1.001,14.641,3.271,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,10.091,10.091,1.001,3.271,3.271,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,3.271,1.001,1.001,3.271,10.091,5.551,1.001,1.001,5.551,1.001,3.271,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,3.271,1.001,1.001,1.001,3.271,10.091,14.641,3.271,3.271,7.821000000000001,7.821000000000001,1.001,1.001,10.091,1.001,5.551,1.001,1.001,1.001,1.001,1.001,1.001,30.551,12.361,5.551,1.001,5.551,1.001,10.091,5.551,0.007399492720337121
1221092,Even the lighthouse is ready for Christmas!!! ❤️ My all-time fav jeans are 25% off! I linked them and another pair I ordered!! My cable knit pom beanie is 50% off and also comes in ivory! ❄️ This cozy turtleneck is on sale for $25 but only available in grey!! It’s so good!! Shop it all with @liketoknow.it http://liketk.it/2ys8W #liketkit #LTKsalealert #LTKshoecrush #LTKstyletip #LTKunder50,6,2,"['even', 'lighthouse', 'ready', 'christmas', 'time', 'fav', 'jeans', '25', 'linked', 'another', 'pair', 'ordered', 'cable', 'knit', 'pom', 'beanie', '50', 'also', 'comes', 'ivory', 'cozy', 'turtleneck', 'sale', '25', 'available', 'grey', '’', 'good', 'shop']",0.6741764705882352,0.3401764705882353,22.4521,3.18360002639399,twopeasinablog,0,1920093493423107405,1230,72,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,64.001,30.121,8.411000000000001,57.691,89.661,10.001,21.631,74.021,58.141,50.211,16.871,8.941,7.351,1.001,1.001,1.001,2.591,8.941,10.521,2.591,8.941,13.701,8.941,7.351,8.941,1.001,10.521,8.941,4.170999999999999,1.001,1.001,1.001,1.001,16.871,2.591,4.170999999999999,1.001,1.001,1.001,1.001,1.001,4.170999999999999,1.001,5.761,5.761,1.001,2.591,2.591,1.001,1.001,1.001,1.001,1.001,2.591,1.001,1.001,1.001,1.001,1.001,1.001,2.591,1.001,1.001,1.001,1.001,2.591,1.001,1.001,2.591,5.761,1.001,1.001,1.001,4.170999999999999,2.591,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,4.170999999999999,7.351,1.001,2.591,5.761,2.591,1.001,1.001,4.170999999999999,2.591,10.521,1.001,2.591,2.591,1.001,1.001,1.001,37.511,2.591,1.001,1.001,18.461,2.591,16.871,4.170999999999999,0.013001537816300852
1221093,I love Holiday looks that are still comfortable. This chenille sweater is so soft and 50% off. Available in multiple colors and I have a small. Sharing a variety of plaid skirts/pants all on sale. 🎄 @liketoknow.it http://liketk.it/2ysIj #liketkit #ltkholidaystyle #twopeasfashion,4,2,"['love', 'holiday', 'looks', 'still', 'comfortable', 'chenille', 'sweater', 'soft', '50', 'available', 'multiple', 'colors', 'small', 'sharing', 'variety', 'plaid', 'skirts', 'pants', 'sale']",0.7482000000000001,0.3787333333333335,21.4601,2.9884389130833795,twopeasinablog,0,1920595008718025389,1240,89,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,43.001,50.681,10.231,6.941000000000001,99.651,9.401,29.571,79.571,65.29100000000001,46.241,12.901,5.761,5.761,1.001,1.001,1.001,1.001,8.141,12.901,5.761,5.761,10.521,8.141,5.761,8.141,1.001,12.901,12.901,10.521,3.381,3.381,1.001,1.001,10.521,3.381,3.381,1.001,1.001,1.001,1.001,1.001,3.381,1.001,8.141,8.141,1.001,5.761,5.761,1.001,1.001,1.001,1.001,1.001,5.761,5.761,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,3.381,1.001,1.001,3.381,5.761,3.381,1.001,1.001,3.381,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,8.141,10.521,1.001,1.001,3.381,5.761,1.001,3.381,1.001,1.001,8.141,1.001,1.001,1.001,1.001,1.001,1.001,27.191000000000003,12.901,1.001,1.001,1.001,1.001,15.291,3.381,0.01327115495995686
1221094,"While I didn’t actually need all these Winter pieces today, I’m happy to share with you that you can get them on sale. Beanie comes in 3 colors and 50% off. 🙌🏻 Sweater is also 50% off! These are my most worn jeans and currently 25% off. 😍Go down 2 sizes. Also linking the 2 boyjeans I just bought this weekend on sale. All details through link in profile or with the free @liketoknow.it app. http://liketk.it/2ythI #liketkit #twopeasfashion",3,2,"['’', 'actually', 'need', 'winter', 'pieces', 'today', '’', 'happy', 'share', 'get', 'sale', 'beanie', 'comes', '3', 'colors', '50', 'sweater', 'also', '50', 'worn', 'jeans', 'currently', '25', 'go', '2', 'sizes', 'also', 'linking', '2', 'boyjeans', 'bought', 'weekend', 'sale', 'details', 'link', 'profile', 'free', 'app']",0.6722105263157895,0.444,23.2953,3.0422769454102987,twopeasinablog,0,1920794531817964456,948,78,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,79.001,42.981,27.181,67.801,61.521,10.751,16.381,88.18100000000001,67.671,54.851,16.381,9.971,6.131,1.001,3.561,1.001,2.281,7.411,13.821,3.561,9.971,16.381,7.411,7.411,8.691,2.281,15.101,6.131,7.411,2.281,2.281,1.001,1.001,24.081,3.561,8.691,1.001,1.001,3.561,2.281,2.281,3.561,1.001,3.561,3.561,1.001,2.281,2.281,1.001,1.001,1.001,1.001,1.001,6.131,2.281,1.001,1.001,1.001,1.001,1.001,4.851,1.001,1.001,1.001,1.001,3.561,1.001,1.001,3.561,6.131,2.281,1.001,1.001,4.851,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,2.281,1.001,3.561,1.001,1.001,1.001,1.001,1.001,1.001,7.411,8.691,1.001,3.561,7.411,2.281,1.001,1.001,7.411,4.851,9.971,1.001,1.001,1.001,1.001,1.001,1.001,22.791,9.971,2.281,1.001,2.281,3.561,8.691,4.851,0.010245451458928322
1221095,"Happy Cyber Monday!! ❤️ The deals are everywhere! Head to our blog for the full run down of our favs!! Also, this tunic is one of the best and comes in 6 colors!! 🎄 @liketoknow.it http://liketk.it/2ytMx #liketkit @nordstrom #LTKsalealert #LTKstyletip #LTKunder50",5,3,"['happy', 'cyber', 'monday', 'deals', 'everywhere', 'head', 'blog', 'full', 'run', 'favs', 'also', 'tunic', 'one', 'best', 'comes', '6', 'colors']",0.657625,0.4409999999999999,21.2617,2.986251884111172,twopeasinablog,0,1921196022693139784,1735,63,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,41.001,86.68100000000001,90.501,64.351,60.441,9.001,18.501,83.501,58.501,48.501,11.001,6.001,1.001,6.001,1.001,1.001,1.001,6.001,18.501,8.501000000000001,11.001,16.000999999999998,6.001,6.001,6.001,1.001,8.501000000000001,8.501000000000001,6.001,8.501000000000001,6.001,3.501,1.001,11.001,3.501,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,3.501,3.501,1.001,3.501,3.501,1.001,1.001,1.001,1.001,1.001,6.001,1.001,1.001,1.001,1.001,1.001,1.001,6.001,1.001,1.001,1.001,1.001,8.501000000000001,1.001,1.001,8.501000000000001,3.501,1.001,1.001,3.501,1.001,1.001,3.501,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,3.501,1.001,1.001,1.001,1.001,3.501,18.501,1.001,6.001,13.501,3.501,1.001,1.001,3.501,1.001,8.501000000000001,1.001,1.001,1.001,1.001,1.001,1.001,38.501,3.501,3.501,1.001,18.501,1.001,16.000999999999998,6.001,0.01795450460346308
1221096,Are you tired of shopping the sales yet??? I didn’t think so! 😊 My cozy sherpa hoodie is 50% off and my OTK boots are 30% off!!! 🖤 @liketoknow.it http://liketk.it/2yuNW #liketkit #LTKsalealert #LTKshoecrush #LTKstyletip,5,2,"['tired', 'shopping', 'sales', 'yet', '’', 'think', 'cozy', 'sherpa', 'hoodie', '50', 'otk', 'boots', '30']",0.6676,0.3561999999999999,20.9641,3.1386750544376034,twopeasinablog,0,1921510537167148151,821,35,twopeasinablog,100142,1581,3385,Creators & Celebrities,2.001,34.001,15.871,6.271,30.491,2.711,9.251,19.181,70.70100000000001,55.551,49.481,16.151,13.121,10.091,1.001,4.031,1.001,1.001,4.031,10.091,4.031,10.091,10.091,13.121,7.061,7.061,4.031,16.151,4.031,1.001,1.001,1.001,1.001,1.001,19.181,1.001,10.091,4.031,1.001,4.031,4.031,1.001,4.031,1.001,4.031,1.001,4.031,4.031,1.001,4.031,1.001,1.001,1.001,1.001,4.031,1.001,1.001,1.001,1.001,1.001,1.001,4.031,1.001,1.001,1.001,1.001,4.031,1.001,1.001,4.031,7.061,1.001,1.001,1.001,7.061,1.001,4.031,4.031,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,4.031,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,4.031,4.031,10.091,1.001,1.001,1.001,1.001,1.001,1.001,49.481,4.031,1.001,10.091,13.121,4.031,22.211,7.061,0.00854786203590901
